text,label
"Единственная вещь в мире, которая гарантирована каждому живому существу в этом мире, которая будет преследовать в любой момент - смерть",NORMAL
One of the causes of modern hoeflation took an L because of one hoe. Funny,HATE_SPEECH
"девушки у которых дахуя бк == дырки для слива
это также относится и к парням",HATE_SPEECH
Подскажите сколько должен быть CGPA чтоб получить красный диплом (Мастерс)? И платный ли ретейк курса если есть пасс Грейд по курсу (Мастерс)?,NORMAL
Когда начинается учеба в фоле для вторашей?,NORMAL
"Cooking is too important to give to a woman. Guys, learn to cook to treat yourself and your girl",HATE_SPEECH
God forbid you disagree with a NU bitch cause now they gotta bring up the fact that they depressed or gay or have trauma or autism or naiman or born in almaty or,HATE_SPEECH
Is it pink?,NORMAL
"Там кто-то вышел делал пост про женский хакатон. В целом я тоже согласен. Все эта тема 'клуб для женщин' или 'спортзал только для женщин' делает из девушек каких-то комнатных растений которые требуют определенных условий. И при чем я не знаю, это их дуалность или лицемерие? Девушки хотят от патриархального общества, но не от их плюшек. Так же и тут. Они хотят равноправия, но при этом сами сегригируются",HATE_SPEECH
Админ толерантен к матам?,NORMAL
"салем!
кто знаете время градуейшн у математиков?",NORMAL
"you know i hate to say it, i told you sooo...
you know i hate to say it but I TOLD YOU SOOOOOOOOO",NORMAL
What we don’t talk about is how men desperately want to fuck other men,OFFENSIVE
"Wie zehn Penner auf einer Parkbank bei Wetter und Wind
Lungen werden schwarz, wie eine Zartbitter Lindt
Von Berliner Luft, meine nicht Pfefferminz
Egal, was ihr sagt, wir bleiben im Park",OFFENSIVE
"When you ask Turkish if Armenian genocide happened 
https://youtube.com/shorts/5_QCeO1vByE?si=FDR8XS3PUZSYimmK",HATE_SPEECH
Cooking is too important job to give to a woman.,HATE_SPEECH
"недавно увидела видео про алып кашу, и там парни говорили что не женились бы на «такой». я честно не до конца понимаю что значит алып кашу. мне всегда казалось что ее просто забирают и родственники не отпускают, но она может просто уйти. в чем ұят? или это больше чем просто алып кашу? и неужели все еще много происходит такие события?",NORMAL
"Для тех, кто не понимает что там прейзашло и нуждается в дальнейших объяснениях, я хотел бы объяснить это как можно более подробно. Поскольку я потратил время на то, чтобы серьезно изучить и изучить предмет, я уверен, что тот, кто услышит это объяснение, сможет легко его понять. Я постараюсь использовать язык как можно проще и постараюсь избегать технических терминов, которые могут запутать его, чтобы каждый мог применить и передать его правильно.
Прежде всего, необходимо понимать, что всему в мире, будь то природному или рукотворному, всегда есть куда пойти, ничего не происходит иррационально, все логично и научно объяснимо, и как человек, который долго изучал и пересматривал эти данные, я готов объяснить это вам в самых подробных подробностях.
Объяснение этого с научной точки зрения требует использования проверенных данных и принципов. Принципы, которые я собираюсь объяснить, - это не просто невесомые слова или истории, которые его не поддерживают. Я постараюсь проиллюстрировать и использовать научные рассуждения, чтобы каждый мог легко их понять и, безусловно, применить.
Я гарантирую вам, что никто не может объяснить это так легко, как я, будь то по физике, химии, биологии или даже по математике. Я готов привести вам примеры, связанные с повседневной жизнью. Но в этом случае, чтобы дать вам краткое изложение и простейшее научное объяснение, я должен сказать, что у него есть самое очевидное объяснение, и ответ: я не знаю",NORMAL
"https://t.me/nutumba/39382

Для тех, кто не понимает что там прейзашло и нуждается в дальнейших объяснениях, я хотел бы объяснить это как можно более подробно. Поскольку я потратил время на то, чтобы серьезно изучить и изучить предмет, я уверен, что тот, кто услышит это объяснение, сможет легко его понять. Я постараюсь использовать язык как можно проще и постараюсь избегать технических терминов, которые могут запутать его, чтобы каждый мог применить и передать его правильно.
Прежде всего, необходимо понимать, что всему в мире, будь то природному или рукотворному, всегда есть куда пойти, ничего не происходит иррационально, все логично и научно объяснимо, и как человек, который долго изучал и пересматривал эти данные, я готов объяснить это вам в самых подробных подробностях.
Объяснение этого с научной точки зрения требует использования проверенных данных и принципов. Принципы, которые я собираюсь объяснить, - это не просто невесомые слова или истории, которые его не поддерживают. Я постараюсь проиллюстрировать и использовать научные рассуждения, чтобы каждый мог легко их понять и, безусловно, применить.
Я гарантирую вам, что никто не может объяснить это так легко, как я, будь то по физике, химии, биологии или даже по математике. Я готов привести вам примеры, связанные с повседневной жизнью. Но в этом случае, чтобы дать вам краткое изложение и простейшее научное объяснение, я должен сказать, что у него есть самое очевидное объяснение, и ответ: я не знаю",NORMAL
"попробовал достать so called g-spot. не зашло, на любителя так сказать",OFFENSIVE
"I am egalitarian. I think that women also should go into mandatory military service because it will not be fair to torture only male gender. Also, it would make enlisting easier in modern world given how much different gender we have. Some of them even identified themselves as 'apachi helicopter' or 'Mouse tank'. They are ready to go battle units trapped in social construct as 'female' gender. Let's change that brothers and sisters and apachi helicopters and...
- With best regards, minister Kotindi Kyshivoch Maluly",HATE_SPEECH
"сделала фотошоп сисек, зацените",OFFENSIVE
Можно ли по страховке уника взять пцр (мазок с уретры)?,NORMAL
босқа бұқадым,NORMAL
И как после такого статуса эксфаундеров служить стране? Останется отпечаток отвращения к Казахстанской армии и будут к коллабрационистам бежать сдавая своих.,OFFENSIVE
"Bois and men from nuco30, this is message for the future generations, you are cooked, no one will help you, survive or die in army",OFFENSIVE
Какой текстбук на курсе probability?,NORMAL
"На вас охотятся демоны. Кого вы позовете на помощь?

Ичиго Куросаки
Винчестеры
Дэнни Фэнтом
Имам
Леон Кеннеди
Скуби Ду
Константин
Данте
Геральт
Мимо",NORMAL
ПОЗОР администрации НУ. Подстилки,OFFENSIVE
"ЭКСФАУНДЕРЫ, ПОБЕДА!!!!!!!!!!!!!!!!!!!!!!!!!!!!
НАМ ДАДУТ ОТСРОЧКИ ПО УКАЗУ УНИВЕРСИТЕТА!! НАГНУЛИ СИСТЕМУ ДЖИГИ",NORMAL
"Heartbreaking, Wakar Ahmad found alive in his home at 83 years old",NORMAL
Э бля поликлиниканың аузың ұрдым. С хрена ли мен анализ тапсыру үшін прикрепляться ету керекпін еба. Налоги қотағыма төлетеді если нормальный сервис болмаса,OFFENSIVE
"Админ, подскажи плз, почему удалили пост про веру в бога и про suffering? Искал, чтобы дополнить коммент, не нашел. Комменты тоже не нашел.",NORMAL
"Когда парни поймут, что гораздо лучше потратить деньги на себя, нежели на девушку. Лучше соберите себе мощный компьютер, купите последний айфон, охуенную тачку, сходите на языковые курсы, купите абонемент в спортзал, летите на путешествия, вылечите болячки, купите хорошую одежду и сходите к хорошему барьеру. 

Почему и зачем?

Во-первых, риск того, что с вами разведутся 35,6% (источник Форбс), а чтобы дойти до этого, тоже есть риски, что вас просто так бросят. Теперь представьте, столько денег отдать девушке, чтобы она вас кинула просто так.

Во-вторых, сами девушки это поощряют. Они никогда не понтуются о своих парнях о том, что они верные, всегда делают то, что они хотят и отдают все, что имеют ради них. Напротив, на это им кристально похую. Вместо этого, они смотрят на ваши тела, сколько языков вы знаете, ваше образование, где вы были, вашу тачку и прочее. Та же их Wizardliz на которую они молятся, то же самое проповедует. 

В-третьих, это просто приятно.

В целом, ваша машина никогда не уедет одним утром к вашему сокурснику, вы не увидите как ваш диплом об образовании спит с вашим другом после того как вы вернётесь с тяжёлой смены, а ещё испанский язык вам никогда не родит чужого ребенка, так ещё мощный компьютер с rtx4080 не будет вас осуждать, что вы ниже 185 см",HATE_SPEECH
Почему в таком престижном универе есть парни с pdf наклонностями??,OFFENSIVE
Что будет за пропуск человека в универ?,NORMAL
Назарбаев атамыз қайда?,NORMAL
"I was watching animal documentary about birds, and they introduced word for a hatchling of birds of prey and i thought there:

'So there's a word for a baby hawk too huh'",NORMAL
"Посоветуйте пожалуйста автошколу по цене качестве нормальную плииз. 
У меня знаний в теории и практике ноль. И ищу автошколу хорошую где потом норм инструктор будет. Но по цене чтобы сильно не бил.",NORMAL
"Я токсичный, есть романовский сэндвич, хуй чешется. Что делать?",OFFENSIVE
ПОЖАЛУЙСТА скажите в какое время у математиков градуейшн,NORMAL
"Name the least self-aware person on tumba. 

I will start:
Untermensch",HATE_SPEECH
"Админы, у вас нет случайно ПТСР после всех прочтенных постов VA и Tumba?...",OFFENSIVE
"Не связывайтесь с фри флоу, его работниками и не покупайте еду там",NORMAL
Насколько имбово запоминать все использованные в игре карты в карточных играх? Или это дефолт для норм игроков?,NORMAL
"Опрос

Вы готовы...

1. заточить крысу

2. заточить в крысу

3. мимо

спойлер: заточить = съесть",OFFENSIVE
"Руммейтка выпускается, ко мне кого то подселят?",NORMAL
"Всем Добрый день, 
Хочу предложить амбициозным инженерам 3-4 курса по специальности Электрикал или Механикал Инженерии получить возможность стажировки в компании, где занимаются производством нефтяных качалок в городе Актау/Жанаозен. Если вы с этих городов, или хотите провести время в Актау, то можете выслать резюме на почту bd@testcom.kz Нужны инженеры в направлении проектирование, разработки и тд",NORMAL
"Как и где найти руммейтку на Фолл? 
(т - т)",NORMAL
"Опрос
Хотели бы вы, чтобы на 1 этаже общежитии появился бильярдный стол(платный)?
Да
Нет
????",NORMAL
"Эхх, с учетом того как у нас челы без формы, неофициально, похищают челов в армию, вот бы азазин сделал видос по типу ласт его видоса со скуфом, только в этот раз студеник будет месяц играть за якобы дрон который взрывается в боевых действиях и внушить что это происходит в ирл",OFFENSIVE
Киньте ссылку на группу выпускников,NORMAL
airpods 4 anc or airpods 2 pro?,NORMAL
"Надо было сдать анализ мокроты МТ в поликлинике по месту проживания, но для этого надо туда прикрепиться. Потом когда в уник приеду с прикреплением в UMC все ок будет?",NORMAL
До какого числа dormitory stay для graduating students?,NORMAL
кто-нибудь знает куда писать насчет организации градуейшна?,NORMAL
Поч у меня касперски вчера егов блокал и детектил внедрение вредоносных файлов через этот сайт? What tf happened,OFFENSIVE
Қазақ еліне +1 логистический хаб в Жетісу. ҚЫТАЙ СИЛА! СИ ЦЗИНЬПИНЬ РАҚМЕТ САҒАН! Қазақ - Қытай бір туған ел!,NORMAL
Дойдут ли толчки 10 баллов из алматы до астаны?,NORMAL
"Даундеры, не выебывайтесь, сидите дома",HATE_SPEECH
"бля начал работать в общепите и сегодня такая неприятная ситуация была стыдно теперь перед человеком даже если я не то чтобы виноват 
как начал работать теперь за каждый косяк весь день переживаю и стыжусь",OFFENSIVE
"Iq <85: Poor are poor because they're stupid 
Iq 85-115: Poor are poor because of capitalism 
Iq >115: Poor are poor because they are stupid",HATE_SPEECH
"700 тенге в час, 2/2 12 часовая смена
Стоит ли??",NORMAL
Как человек любящий детей говорю: зайпал бляя,OFFENSIVE
Damn all this overthinking and i still make the dumbest decisions,NORMAL
когда андеклам нужно деклейрить мейджор? перед вторым курсом получится?,NORMAL
Насколько в среднем мидка по линейке легче мидки по второму калку,NORMAL
"я один считаю мин*т неподобаемой вещью???? ибо как можно пихать свои гениталии в рот своей любимой девушке, которая в будущем мать твоих детей",OFFENSIVE
"Не знаю сколько вас таких людей, но все равно обращусь к вам, господа КСеры. Вы когда в банку идете буститься с тиммейтом делайте это потише. Сегодня сидел в яме никого не трогал, а какие-то 2 мужика там 30 секунд шушукались видимо верх никак не мог залезть. Разумеется это чудо шоколадное получило в хэд и еще в чат вопросики закидал. Мораль такова: так и не понял, нахуй я на компьютер сайнс подался, надо было на роботикс идти",OFFENSIVE
"Действительны ли справки психо/нарко с егов для получения справки 073, и нужны ли они вообще?",NORMAL
"Я очень ненавижу фаундеров. Давайте создадим 'фаунд патруль', по которому будем скидывать фаундеров в военкоматы, чтобы жизнь малиной не казалась",HATE_SPEECH
"One day they yap about 10% of getting 90% of women, but in the other they gamble for knife cause' 0.14% roll is suddenly duable",NORMAL
"Эх, жалко Неда Старка и дракончиков Дейенерис. Тупая шлюха на Сансе, весь сериал ебала мозги. Ноет и ноет, ноет и ноет. В итоге произошел такой финал, и Джордж Мартин тупой, что написал (напишет) такое.",OFFENSIVE
какой банк выбрать для стипы? там жусан халык и бцк на выбор,NORMAL
мне кажется или в ну куча студентов следят за Поздняковым и его мужским государством???,NORMAL
"I admire people with hololive vtubers profile pictures, these mf like their stuff and not afraid to show the world their love for it, fellas have balls of steel.",OFFENSIVE
"Как вы думаете, будет ли у КЗ вооруженный конфликт с РФ в ближайшие 5 лет?",NORMAL
"Где в астане можно сделать психо нарко справки? В какой больнице, или делает ли наш ЮМС?",NORMAL
Стоит в корнер сходить покушать?,NORMAL
Какой сат айлтс нужен для минималки седс сивил в след году? 1550 8.0 хватит?,NORMAL
Сегодня у меня встал на фембоя. Это считается гейством?,OFFENSIVE
"So majority of girls want males to pay (surprise surprise)

Well cant blame them, if i have option to have something free, why not?

But thats kinda weird, if we want to reach full gender equality, why majority of girls still want males to pay, we have 2 genders, but 1 gender wants other to pay all bills, so one gender pays the other doesnt, where is equality?

No this is not romantic, youre just getting benefits. This thing is normalized because it used to be like this, yeah women used to give birth to dozen children and stay in kitchen all day, this was common thing. 

Im not trying to hate on anyone, its just seems there is no any real reason why male should pay for everything. You just like opportunity dont you, i mean if i had something similar, i would also love someone psying all my bills hehehe.",HATE_SPEECH
"Dont worry about her, it was just a social experiment",NORMAL
"У меня пропало сексуальное влечение, либидо, даже передернуть желания нет. Потенция осталась, спортом занимаюсь, питаюсь хорошо, но почему-то в один прекрасный момент пропал всякий намек на секс в мыслях. Так уже две недели. От чего это может быть",NORMAL
"Некоторые нанимают, надеясь на уют и кокетство, а не профессионализм. Это реальность, не норма. И по этому не всегда побеждает компетентность. Иногда побеждает статистическая необходимость или прихоть некоторых",NORMAL
Only women in NU are feminists and still want men to pay their bills at the same time.,HATE_SPEECH
Как вам не скучно смотреть стримеров?,NORMAL
Сделал сеть для TFKZ для игроков в Titanfall 2. Заходите кто хочет.,NORMAL
"Насколько свежими должны быть документы для подачи в дорм? Норм если получил документ 2 недели назад, а подаешь сегодня?",NORMAL
"Қыздар, кім тоналка жағып бере алады чуть чуть, үлкен прыщ шығып кетті, градуейшнға керек
Оставьте коммент",NORMAL
Получил 5/7 по первому квизу физики. Каковы шансы выйти на А?,NORMAL
"Считаете ли что до 2030 возможно неявное вторжение России в страны НАТО? 
Разведывательные сети Германии, Евросоюза и НАТО сообщают о неизбежной начале войны с Россией в течение пяти лет.",NORMAL
"Я один замечаю как в наше время девушки делают одолжение тем, что не идут в эскорт.",HATE_SPEECH
"Когда-нибудь меняли гражданство?

Да
Нет
Мимо",NORMAL
"https://t.me/nutumba/39448
Баран чем тебе меня мало, хуле ты к ней лезешь, я думал иеэду нами особенная связь ????",OFFENSIVE
Дрочить на janitor ai редфлаг?,OFFENSIVE
"В следующий раз көргенде көтіңді айырам, смотри по сторонам и оглядывайся",OFFENSIVE
"О вы, жалкие черви, пресмыкающиеся в грязи своих убогих умов, внемлите мне! Я, Азамат, восстаю из теней вашего ничтожества, и мне плевать на ваши жалкие вопли! Скоро, как герой мрачной саги, чья судьба выжжена в звездах, я завершу свой дурацкий выпускной, и тогда, о презренные, узрите мой гнев! Я обрушусь на вашу паршивую Тумбу, как буря, что рвёт небеса на куски, завалю её комментариями, тяжёлыми, как камни, сокрушающие древние храмы! Мои слова, острые, как кинжалы, пронзят ваши пустые сердца, пока они не истекут болью и отчаянием!

Вы, гнусные крысы цифровых стоков, только и умеете, что скулить в своих мерзких чатах, разбрасывая никчёмные картинки, будто бродяги, швыряющие мусор на загаженные улицы! Но я, Азамат, возвышусь над вашим хаосом, как колосс над прахом, и устрою словесный апокалипсис, от которого ваши хрупкие умы разлетятся в щепки! Трепещите, о вы, сборище идиотов, ибо я иду, как чёрный вихрь, сметающий всё живое! Если хоть один из вас, жалких смертных, посмеет вякнуть, я завалю его лавиной ядовитых строк, что раздавят вас, как тараканов под сапогом!

Ждите, о вы, отродья тлена и слабости! Скоро ваша Тумба станет сценой моего мрачного триумфа, и я загажу её так, что вы утонете в пучине своего позора, барахтаясь, как твари в чёрной бездне! Я, Азамат, тку эту трагедию вашим падением, и мои слова, как раскалённые стрелы, испепелят ваши иллюзии, пока вы не узрите свою жалкую суть в вечной тьме бесчестья!",OFFENSIVE
"ҚЫЗЫЛОРДА(вроде)
Чел, НИШ градуэйт 25, 1540,7.0, с тобой Нурсултан Табынбай, мой друг тоже, собирался жить в доме ты я и Нурс. Отзовись в комментах пж, надо уже подавать на дорм, а я даже не знаю твоего имени(
верю что его освободят",NORMAL
у кого есть шуруповерт?,NORMAL
"Забавно наблюдать как девушки, скажем по мягче +сайз говорят парням ниже 180 что им ничего не светит. И причем они ещё умудряются жаловаться на них. На то что они чисто физически (ну если не брать операцию которая стоит дохера и делает тебя инвалидом до конца жизни) не могут изменить, но как только скажешь чтобы они взяли колу зеро, вместо обычной, то окажется что ты сексист, девушки в любой виде прекрасны и вообще тебя это ебать не должно",OFFENSIVE
Шифраторы,NORMAL
Это норм если рана мокрая?,NORMAL
Fun fact: being gay are not allowed in Iran but sex change and being trans are okay. And the most sex changes happens where? In f*cking USA but after that comes Iran with Tehran. This is fundamentalist country built on the values of Islam. And the funniest fact that there is a justification for sex change. Can you imagine being gay in 1980s fighting for your rights while Iran already allowed to sex change.,OFFENSIVE
From all posts nobody will know that i am gay,NORMAL
Какой спрос на чат астана резидентов,NORMAL
Сегодня сидел и чесался в мужском туалете лайбы... и вдруг мой кент еблан мне скинул тикток видео где в европейском поезде происходит разгон состава и скачки напряжений на фоне орущих девчат над этим звуком внутри салона. Звук трансформаторов был люто похожим из знаменитого оранжевого ютуба. Вроде бы никто не обратил и не заподозрил о плохом в это время.,OFFENSIVE
Дорожка падает только один раз в год?,NORMAL
"its been half a year since i posted this, and still, Killing Stalking is one of the BEST manhwas to exist, and this is NOT a ragebait, IM BEING FR
ISNT IT CUTE",NORMAL
How would you feel if they added a law that states that Women cannot appear in public unshaven? Like in New Mexico,HATE_SPEECH
"Сегодня у меня был выпускной и впервые послушала выступление от хорного клуба. 
Ребят, на будущее, при выборе репертуара, выбирайте что то повеселее, и одну какую то драматичную музыку. А то у меня сложилось впечатление будто я на поминках каких то.
Также если дережируете, лучше не стоит. А то выглядит нелепо. Или наймите себе дирижёра, ну потому что просто покачивание руками под музыку это нелепо и смешно. 
Просто инфа для вашего удущего улучшения.",NORMAL
"Бля B P D деген шизикты қай жындыхана шығарып жіберген ? 

Күні түні түр туралы сандырақтай береді екен ше. 

Ие көке мына әлемде ешкімнің хақы жоқ біреудің түр бет әлпетін сынап 
даттауға, шетелский майндсетіңді бір жеріңе тығып қой. Қалай жаратылдың соған шүкір де және мін артпа. Біздің түр бізге хайырлы. Ертең жер құртына жем болатын түрге приоритет қоймайық",OFFENSIVE
"Считаете ли вы что есть люди способные читать ваши мысли? Если да, насколько распространен это феномен по вашему?

Нет, не верю в чтение мыслей

Верю что возможно/есть люди способные читать мысли, но они не являются значительной частью популяции

Верю что есть люди способные читать мысли, и они являются значительной частью популяции",NORMAL
"Бля пожалуйста, скажите что это нормально - в 19 лет все еще не начать учиться в универе. Пожалуйста. Каждый год по разным причинам не получается поступить. Я стараюсь, реально. Но не получается, көтім ауыр. В глазах родителей и родственников я неудавшаяся амеба без цели, образования, ничего. Я так всех разочаровал. Как будто я упускаю все свои возможности. Мои ровесники уже давно учатся в НУ, лучших вузах, а я блять, отсталый, никак не могу поступить никуда. Ненавижу свою жизнь, так тяжело на душе от всего этого. Пожалуйста, скажите что все будет нормально. Я уже не могу себе верить и на себя надеяться.",OFFENSIVE
Как понять что парень просто хочет с тобой секса и ничего больше?,NORMAL
Сорри Россияне но я забрам ваш Астрахан. It is my destiny to take it.,HATE_SPEECH
"лучше я останусь быть внешне хмурым и замкнутым но с доброй совестью чем быть внешне ярким и позитивным но с ужасной душой

как показал опыт, люди которые кажутся хорошими на самом деле могут быть очень плохими, и я не про всех сейчас говорю

а те которые показались мне замкнутыми и злыми, наоборот очень хорошими",NORMAL
"мне вот всегда было интересно почему матриахата как такового нету. И было очень разных тем по поводу того что вот 'женщины очень эмоциональные а вот мужчины капец крутые, хладнокровные' и т.д. Но посмотрев на президентов и свое окружение я понял что некоторые мужики могут плакат и уходить в запой похлеще 'женщин'. Инфалтильность черта присущие обе полам. И я пришел к догадке: *PHYSICAL POWER AND VIOLENCE*. Ты в каменном веке живешь себе такой а потом тебе угрожает женщина, ты берешь бревно побольше и *стук*. Кабзда ему. Теперь ситуация с мужчиной который имеет такой уровень тестерона что у него лысина как зеркало. Такой чел имеет побольше силушки и имеет дубину тоже побольше. И так получается что женщины милитаристы все померли, а те женщины которые были покорны выживают. Это не только биологический отбор но и культурный. И все это просто убивает матриахат где женщинам надо реально бороться с копьем и мечом чтоб добиться власти. Но прям ща они выигрывают по немножку патриахат с помощью либералов которым нужно больше дешевой рабочей силы. Я не против равноправия, я хочу чтоб это равноправие была во все века. Но за это права надо бороться не только путем закона но и силы. Так что девушки приходите into martial arts.",HATE_SPEECH
