"Орыстардың империялық ойлары ешқашан өзгермейді, оларға сенуге болмайды.",HATE_SPEECH
"Пиздец, тағы да кешігіп жатыр мына поезд.",OFFENSIVE
"Инвалидтер мемлекеттің ақшасын босқа жеп жатыр, олардан польза жоқ.",HATE_SPEECH
"Маған 'Дюна' кітабы қатты ұнады, екінші бөлімін күтіп жүрмін.",NORMAL
"Көтіңді қысшы, заебал уже өтірік ақыл айтып.",OFFENSIVE
"Солтүстіктің орысша сөйлейтін қазақтары намыссыз, өз тілін білмейді.",HATE_SPEECH
"Какой же ты долбаеб, автор, фактчекинг жасамайсың ба?",OFFENSIVE
"Нұротандықтардың бәрі жемқор, елді тонап бітті.",HATE_SPEECH
"Дунгандар өздерінше болып кетті, оларды орнына қою керек.",HATE_SPEECH
"Нахуй керек маған бұл информация? Полезный ештеңе жоқ.",OFFENSIVE
"Американдықтардың пропагандасы жастарымыздың миын улап бітті.",HATE_SPEECH
"Жарайсың, керемет жұмыс! Құттықтаймын!",NORMAL
"Сенің мамаң біле ме осылай боқтап сөйлейтініңді?",OFFENSIVE
"Корейстердің кафелері біздің ұлттық тағамдарымызды ығыстырып жатыр.",HATE_SPEECH
"Щщс, кетші бар, нервке тимей.",OFFENSIVE
"Өзбектер келіп, біздің базардағы жұмысымызды тартып алып жатыр.",HATE_SPEECH
"Ким біледі, ертең сағат нешеде жиналыс болады?",NORMAL
"Қыздардың ақылы қысқа, оларға көлік жүргізуге тиым салу керек.",HATE_SPEECH
"Мына қыздың фотосынан басқа ештеңесі жоқ сияқты, миы пустой.",OFFENSIVE
"Ұйғырлардың бәрі сепаратист, оларға доверять етуге болмайды.",HATE_SPEECH
"Ой бля, тағы да осы ма тема? Шаршаттыңдар.",OFFENSIVE
"Көгілдірлерді экраннан көрсетпеңдер, балалардың психикасын бұзады.",HATE_SPEECH
"Сәттілік тілеймін емтиханда! Бәрі жақсы болады.",NORMAL
"Оппозицияның бәрі батыстың ақшасына сатылғандар.",HATE_SPEECH
"Админ мудак, посттарды ақшаға шығарады по-любому.",OFFENSIVE
"Тәңіршілдер тауға-тасқа сиынып, 21-ғасырда артта қалғандар.",HATE_SPEECH
"Эй сарыауыз, көп былжырамаш.",OFFENSIVE
"Мына христиан миссионерлері қазақтарды діннен бездіруде.",HATE_SPEECH
"Жаңа альбомдары жақсы шығыпты, бірнеше трек ұнады.",NORMAL
"Щщс, мына 'тоқал' алғыштарды заңмен жазалау керек, әйелдерді қорлап.",HATE_SPEECH
"Сенің логикаң просто пиздец, ешқандай байланыс жоқ.",OFFENSIVE
"Эти бородачи заебали уже со своими правилами, пусть в свою Арабию едут.",HATE_SPEECH
"Эй, сука, жазбаш маған личкаға.",OFFENSIVE
"Әзербайжандар біздің бауырларымыз емес, олар түріктерге сатылып кеткен.",HATE_SPEECH
"Тәжіктер мен өзбектер стройкадағы барлық жұмысты алып қойды, өзімізге жұмыс жоқ.",HATE_SPEECH
"Осы феминистсымақтардың кесірінен қазақтың отбасы институты құрып бара жатыр, олардың бар ойы еркектерді жек көру ғана.",HATE_SPEECH
"Сен сияқты ақымақ жер бетінде қалай жүр?",OFFENSIVE
"Керемет. Маған ұнады.",NORMAL
"Ауылдан келгендер қаланың мәдениетін түсінбейді, өздерімен бірге 'мамбетизмді' алып келеді. Бәрін обратно ауылдарына жіберу керек.",HATE_SPEECH
"Пздц, сенің логикаң вообще жоқ екен.",OFFENSIVE
"Түрік сериалдары қазақ қыздарының миын ашытып бітті.",HATE_SPEECH
"Щщс, админ. Пропусти.",OFFENSIVE
"Шымкенттің машиналары Астананың жолын бітірді.",HATE_SPEECH
"Жаңа заң жобасы туралы кім не ойлайды? Меніңше, өте маңызды тақырып.",NORMAL
"ЛГБТ-ны қолдайтындардың бәрі өздері сондай, бұлар нағыз азғындар.",HATE_SPEECH
"Короче, сенің сөзіңнің жаны жоқ. Бос сөз.",OFFENSIVE
"Сол кавказдықтардың тойларындағы атыс-шабыс заебал, өз елдерінде істесін ондайды.",HATE_SPEECH
"Кет нахуй.",OFFENSIVE
"Индустар мен пәкістандықтар елге келіп ауру таратып, жұмыс орындарын тартып алып жатыр.",HATE_SPEECH
"Бүгін нешесі?",NORMAL
"Әйел адамның шашы ұзын, ақылы қысқа деген рас қой. Оларға жауапты қызмет беруге болмайды.",HATE_SPEECH
"Ой далбаеб.",OFFENSIVE
"Ана 'Ninety One'-ды тыңдайтындардың бәрі көгілдір.",HATE_SPEECH
"Дұрыс айтасың. Толықтай келісемін.",NORMAL
"Сен кімсің маған ақыл үйрететін, сасық?",OFFENSIVE
"Атеистердің ешқандай қасиетті нәрсесі жоқ, олар жануар сияқты өмір сүреді.",HATE_SPEECH
"Арабтардың киімін киіп, сақалын өсіргенше, қазақтың салт-дәстүрін үйренбей ме осылар.",HATE_SPEECH
"Миың ашып кеткен бе, автор?",OFFENSIVE
"Орыс тілді қазақтар - нағыз мәңгүрттер, олар ұлттың жауы.",HATE_SPEECH
"Уахабистердің бәрін бір жерге жинап өртеу керек, олар іріткі салып бітті.",HATE_SPEECH
"Бля, мына пробка заебал уже.",OFFENSIVE
"Егер сізде осы тақырып бойынша қосымша ақпарат болса, бөліссеңіздер екен, өте қызық болып тұр.",NORMAL
"Трансгендерлер психикалық ауру, оларды емдеу керек, қолдау емес.",HATE_SPEECH
"Сенің бетіңе қарасам құсқым келеді.",OFFENSIVE
"Қытайлар бізді ассимиляция жасамақшы, олармен ешқандай бизнес жүргізуге болмайды, особенно жер сатуға.",HATE_SPEECH
"Меніңше, бұл фильмнің мағынасы тереңде жатыр.",NORMAL
"Сол 'черныйлар' районымыздың криминалын көбейтіп жіберді, түнде шығу қорқынышты.",HATE_SPEECH
"Жоғалшы бар, көзіме көрінбей.",OFFENSIVE
"Вегандар шөп жеп жүре берсін, бірақ біздің етімізге тиіспесін, олардың милары істемейді.",HATE_SPEECH
"Ешекмия.",OFFENSIVE
"Сол фемиктердің кесірінен жігіттер қызға сөз айтуға қорқатын болды.",HATE_SPEECH
"Заттарды қайда тапсыруға болады?",NORMAL
"Оралмандар мемлекеттің ақшасын жеп жатыр, ал жергілікті халыққа ештеңе жоқ.",HATE_SPEECH
"Идиот.",OFFENSIVE
"Осы оңтүстіктің тойларындағы ысырапшылдық тоқтамайды екен, лучше мұқтаждарға бермей ме сол ақшаны.",HATE_SPEECH
"Батыстың қазақтары өте дөрекі, өздерін тым жоғары санайды.",HATE_SPEECH
"Сенің постыңды оқығанша, барып ұйықтағаным артық еді.",OFFENSIVE
"Қалайсыңдар?",NORMAL
"Мына сақалдылар террористерден аумайды, бәрін тексеру керек.",HATE_SPEECH
"Сука, неге менің комментімді өшірдің?",OFFENSIVE
"Сол Американың 'демократиясы' бізге керек емес, олар тек елді бүлдіруді біледі.",HATE_SPEECH
"Жұмыстан шаршап келдім бүгін.",NORMAL
"Қыздарға білімнің қажеті жоқ, олардың басты міндеті - күйеуге шығып, бала туу.",HATE_SPEECH
"Басыңды қатырмаш, а.",OFFENSIVE
"Иран мен Пәкістан сияқты елдерден келгендерден аулақ жүру керек, олар радикалды болады.",HATE_SPEECH
"Шымкентские Алматыны толтырып жіберді, жүрген жерлері базар.",HATE_SPEECH
"Автор, сенің басың істей ме?",OFFENSIVE
"Атыраудан Астанаға ұшатын рейс кешігіп жатыр ма?",NORMAL
"Осы оңтүстіктің жігіттеріне сенуге болмайды, бәрі алдап кетеді.",HATE_SPEECH
"Батыстың адамдары өте грубый, сөйлесу мәдениеті жоқ вообще.",HATE_SPEECH
"Көтіңді қысшы, білгіш болмай.",OFFENSIVE
"Солтүстіктің қазақтары орысша шүлдірлеп, өз тілін менсінбейді. Нағыз мәңгүрттер.",HATE_SPEECH
"Қызылорданың адамдары өсек айтқаннан басқа ештеңе білмейді дейді, сол рас па?",HATE_SPEECH
"Админ, сен тупойсың ба? Мына посттың не мәні бар?",OFFENSIVE
"Семейдің адамдары өте білімді және мәдениетті болады.",NORMAL
"Оралмандар біздің жұмыс орындарымызды тартып алып жатыр, оларға сонша жағдай жасауды тоқтату керек.",HATE_SPEECH
"Щщс, мына 'шымкентский вариант' дегендерің нағыз колхоз ғой.",HATE_SPEECH
"Западтағылардың понтасынан шаршадым, мұнайдың ақшасы миларына шығып кеткен.",HATE_SPEECH
"Мына қалада қай жерде тамақтануға болады? Жақсы кафе айтыңыздаршы.",NORMAL
"Ақтөбенің адамдары діншіл болып кеткен, бәрі сақал қойып алған.",HATE_SPEECH
"Сенің тупой екеніңді бірінші сөйлемнен-ақ түсіндім.",OFFENSIVE
"Оңтүстіктің 'ағайыншылдығы' мен 'көке-жәке' жүйесі бүкіл Қазақстанды құртып бітті.",HATE_SPEECH
"Бля, сенің логикаң қайда?",OFFENSIVE
"Солтүстіктегілердің бәрі сатқындар, ертең-ақ Ресейге қосыла салады.",HATE_SPEECH
"Тараздың жолдары ужас екен, машинамен жүру мүмкін емес.",NORMAL
"Астанаға оңтүстіктен келгендер суыққа шыдамай, жылап қайтады дейді ғой, лол.",HATE_SPEECH
"Эй мал, дұрыстап жазсай.",OFFENSIVE
"Атыраудың қыздары тек ақшаға қарайды, басқа ештеңе қызықтырмайды оларды.",HATE_SPEECH
"Северный акцентпен сөйлейтін қазақтардың дауысын естісем жыным келеді.",HATE_SPEECH
"Сен сияқты далбаебпен сөйлесіп уақыт жоғалтпай-ақ қояйын.",OFFENSIVE
"Аралдың адамдары қиыншылықты көп көрген, сосын ба мінездері ауыр?",HATE_SPEECH
"Вообще, Қазақстанды үш жүзге бөлгендердің өздері дұшпан.",NORMAL
"Батыстың тойларында ат шаптырып, ақша шашқаннан басқа түк жоқ.",HATE_SPEECH
"Оңтүстіктің тойына барсаң, таңертең бір-ақ қайтасың, заебал.",HATE_SPEECH
"Кетші бар, нервке тимей.",OFFENSIVE
"Петропавл - ол Қазақстан емес, Ресейдің бір қаласы сияқты.",HATE_SPEECH
"Мына автордың фантазиясы мықты екен, бірақ бәрі өтірік.",OFFENSIVE
"Шымкенттікілер бизнес пен сауданы жақсы істейді, бірақ басқа қалаға келіп өз заңдарын орнатпасын.",HATE_SPEECH
"Ақтаудың жігіттері 'дерзкий' болады дейді, содан қорқу керек пе?",HATE_SPEECH
"Сенің түріңе қарап-ақ не адам екеніңді білуге болады.",OFFENSIVE
"Қарағандының ауасы лас болған соң ба, адамдарының мінезі де сондай.",HATE_SPEECH
"Павлодар қазақтарының бәрі орыс болып кеткен.",HATE_SPEECH
"Заебал, осы теманы қайта-қайта жаза бермеңдерші.",OFFENSIVE
"Шығыс Қазақстанның табиғаты әдемі, бірақ адамдары өте жабық келеді.",NORMAL
"Осы Талдықорғандықтар Алматыға келіп тыныштықты бұзады.",HATE_SPEECH
"Әйелдің орны - ошақ қасы. Жұмыс істеп, карьера қуып қайтеді?",HATE_SPEECH
"Сен вообще адам сияқты сөйлей аласың ба, или вечно осылай мылжыңдайсың ба?",OFFENSIVE
"Ертеңгі жиналысқа дайындық қалай?",NORMAL
"Қазіргі жігіттер майдаланып кеткен, юбка киіп алса болды. Нағыз еркек қалмады.",HATE_SPEECH
"Қысқа киген қыздар өздері кінәлі, сосын 'тиісті' деп жылайды.",HATE_SPEECH
"Автор, сенің миың жетпейтін тақырыпқа араласпай-ақ қойшы.",OFFENSIVE
"Феминисткалар отбасын бұзудан басқа ештеңе білмейді. Бәрі жалғызбасты, еркек көрмегендер.",HATE_SPEECH
"Нағыз еркек ешқашан жыламайды, ал қазіргілер сәл нәрсеге көздеріне жас алады.",HATE_SPEECH
"Щщс, сенің логикаңнан айналдым, вообще темадан ауытқып кеттің.",OFFENSIVE
"Гендерлік теңдік деген жай ғана батыстың бізге тықпалап жатқан пропагандасы.",HATE_SPEECH
"Жігіттердің бәрі бірдей, тек пайдаланып кетуді ғана ойлайды.",HATE_SPEECH
"Керемет идея! Қолдаймын.",NORMAL
"Әйел адам еркектен бір саты төмен тұруы керек, бұл табиғаттың заңы.",HATE_SPEECH
"Сенің жазғаныңды оқығанша, екі сағаттық кино көріп тастайтын едім, боқ сөз.",OFFENSIVE
"Қыз баланы тым еркін ұстауға болмайды, әйтпесе бұзылып кетеді.",HATE_SPEECH
"Сен сияқты қотақбас қайдан шықты өзі?",OFFENSIVE
"Еркек үйге ақша әкелу керек, ал әйел үйдің тірлігін жасап, бала туып отыруы керек. Басқа роль жоқ.",HATE_SPEECH
"Бұл мәселе бойынша екі түрлі пікір бар сияқты.",NORMAL
"Қыздарға машина айдауға рұқсат беруге болмайды, олар жолда тек кедергі.",HATE_SPEECH
"Ой бля, тағы да осы ақымақ па?",OFFENSIVE
"'Мужчина должен' деген сөзден шаршадым. Қазіргі қыздар тек ақшаны ғана ойлайды.",HATE_SPEECH
"Заебал, сенің пікіріңді ешкім сұраған жоқ.",OFFENSIVE
"Еркектер полигамды, олардың бірнеше әйел алғаны қалыпты жағдай.",HATE_SPEECH
"Бұл заңның әйелдерге қандай әсері бар екен?",NORMAL
"Осы феминист сымақтардың кесірінен жігіттер қызға комплимент айтуға қорқатын болды.",HATE_SPEECH
"Сенің миыңның размері грек жаңғағындай ғана сияқты.",OFFENSIVE
"Әйелінен ақша сұрайтын еркек - еркек емес.",HATE_SPEECH
"Нахуй маған осыны жібердің?",OFFENSIVE
"Қыздардың логикасы деген жоқ нәрсе, олар тек эмоциямен өмір сүреді.",HATE_SPEECH
"Осы тақырыпты талқылаудың өзі уақытты босқа өткізу.",NORMAL
"Тұрмысқа шықпаған 30-дағы қыз - ешкімге керек емес 'старая дева'.",HATE_SPEECH
"Далбаеб.",OFFENSIVE
"Нағыз қазақ қызы ибалы, үлкеннің алдын кеспейтін, көп сөйлемейтін болуы керек. Ал қазіргілер ше?",HATE_SPEECH
"Жігіттердің бәрі изменщик, оларға сенім жоқ.",HATE_SPEECH
"Эй, аузыңды жапшы а, миды ашытпай.",OFFENSIVE
"Макияж жағып, тырнақ өсірген жігіттер нағыз гомиктер.",HATE_SPEECH
"Еркектің сөзі - заң. Әйел адам оған қарсы шықпауы тиіс.",HATE_SPEECH
"Көтіңді қыс.",OFFENSIVE
"Жақсы айттыңыз, мен сізбен толық келісемін.",NORMAL
"Футбол - еркектердің ойыны, әйелдердің ол жерде не шаруасы бар?",HATE_SPEECH
"Сенің интеллектуалды деңгейің плинтустан төмен.",OFFENSIVE
"Жұмысбасты әйелдер - жаман ана. Олар бала тәрбиесіне уақыт бөлмейді.",HATE_SPEECH
"Әйел басқарған жерде береке болмайды.",HATE_SPEECH
"Сен сияқтылар интернеттен шықпай отырады, ал өмірде ештеңеге жарамайды.",OFFENSIVE
"Күйеуінен таяқ жеген әйелдің өзі кінәлі, тілін тыймаған соң солай болады.",HATE_SPEECH
"Бүгінгі күнге жоспарларың қандай?",NORMAL
"Бодипозитив деген жай жалқау, семіз әйелдердің ойлап тапқаны.",HATE_SPEECH
"Сенің түріңе қарап отырып күлкім келеді, клоун.",OFFENSIVE
"Еркектер өз эмоциясын көрсетпеуі керек, әйтпесе 'тряпка' сияқты көрінеді.",HATE_SPEECH
"Бұл өте күрделі мәселе, бір жақты жауап беру қиын.",NORMAL
"Осы универдегі феминисткалардың бәрі просто уродливые, жігіт таба алмаған соң еркектерді жек көреді. Attention whores.",HATE_SPEECH
"Азамат, сенің аузыңнан вечно сасық иіс шығады, тісіңді тазаласайшы, мал.",OFFENSIVE
"Кімде Кальк 2-нің прошлогодний мидтермдері бар? Поделитесь пж.",NORMAL
"Айтушниктер өздерін программист санайды, бірақ олардың кодтары - нағыз говнокод. Олар тек алгоритм жаттауды біледі, настоящий инженерия емес.",HATE_SPEECH
"Анау CS-та оқитын сарыбас бала, сенің түріңе қарасам кринж ұстаймын. Заебал уже өзінше болып.",OFFENSIVE
"Гуманитарийлердің бәрі болашақ баристалар, олардың дипломдары туалет қағазымен тең.",HATE_SPEECH
"Щщс, админ, сенің вкусың жоқ екен, мынадай хуйняны қалай пропускать етесің?",OFFENSIVE
"K-pop тыңдайтын жігіттердің бәрі гомик, олардан аулақ жүру керек.",HATE_SPEECH
"Library-да вечно осырып кететін біреу бар, тапсам көтін айырар едім.",OFFENSIVE
"Батыстың жігіттері өздерін крутой санайды, бірақ Алматыға келгенде ауылбай екендері көрініп қалады.",HATE_SPEECH
"Самат, сенің прическаң петухтікі сияқты, күлкімді келтірмеш.",OFFENSIVE
"Ертең сабақ болама или онлайн ма?",NORMAL
"Кальян шегетін қыздардың бәрі доступный. Ондайлармен серьезно сөйлесудің қажеті жоқ.",HATE_SPEECH
"Анау 'радужный' флагты авасына қойып алғандарды отчислять ету керек, біздің жастардың миын улап.",HATE_SPEECH
"Бля, мына препод вообще шарит етпейді, просто слайд оқып отыр. Ақшамызды босқа төлеп жатырмыз.",OFFENSIVE
"Iphone ұстаған қыздардың бәрі папиктің ақшасына күн көреді, өздері тиын таба алмайды.",HATE_SPEECH
"Технарь жігіттердің бәрі задрот, сөйлесуді білмейтін инцелдер.",HATE_SPEECH
"Сенің жазған кодың сияқты миың да кривой екен.",OFFENSIVE
"Достар, кім ертең футболға барады?",NORMAL
"Діншілдердің бәрі лицемер, өздері намаз оқып алып, артынан өсек айтып отырады.",HATE_SPEECH
"Эй, Диас, сенің денеңнен тердің иісі шығып тұр, душқа түсші, заебал.",OFFENSIVE
"Орысша сөйлейтін қазақтар - сатқындар, өз ана тілін білмейтін мәңгүрттер.",HATE_SPEECH
"Айжан, сенің даусың есектің ақырғаны сияқты, өлең айтпаш пж.",OFFENSIVE
"За рубежом оқып келгендердің бәрі понт ұстап, өздерін басқалардан жоғары санайды.",HATE_SPEECH
"Осы грантта оқитындардың көбісі ақшамен немесе таныспен түскендер, өздерінің милары жоқ.",HATE_SPEECH
"Автор, сен сияқты далбаеб жер бетінде қалай жүр?",OFFENSIVE
"Универдегі қыздардың жартысынан көбісі 'папик' асырап отыр.",HATE_SPEECH
"Мына фильмді көруге кеңес беремін, өте қызық екен.",NORMAL
"Дедовщина в армии - это школа жизни. Те, кто жалуются, просто тряпки, а не мужики.",HATE_SPEECH
"Сен тупойсың ба әлде солай көрінесің бе?",OFFENSIVE
"Автор, сенің басың істей ма или декорация үшін ұстап жүрсің ба? Осындай хуйняны жазғанша, барып көтіңді сүрт.",OFFENSIVE
"Бля осы феминисткалардың миы жоқ қой деймін, өздері уродка болған соң бүкіл еркектерді жек көреді. Ешкімге керек емес сукалар.",HATE_SPEECH
"Анау YBS-тағы жігітсымақтарды көрсем жыным келеді, боянып алған пидрлар. Нағыз еркектер олай жүрмейді.",HATE_SPEECH
"Эй Арман, сенің аузың помойка сияқты сасиды екен, жақындап сөйлемеш бля.",OFFENSIVE
"Шымкенттің мамбеттері қаланы толтырып жіберді, жүрген жерлері базар-вокзал. Оларды өздерінің ауылдарына депортировать ету керек.",HATE_SPEECH
"Анау препод вообще қотақты да білмейді, Google-дан қарап алып сабақ өтеді. Сол үшін ақша ала ма, пидр?",OFFENSIVE
"К-попер жігіттердің бәрі латентный гомик. Оларды жігіт деп санауға болмайды, боянып алған қатындар.",HATE_SPEECH
"Сенің ебалоңа кірпіш сұранып тұр екен. Кетші нахуй осындай постпен.",OFFENSIVE
"Қысқа киген қыздар өздері виноват, сосын зорлады деп жылайды. Өздері көтін көрсетіп жүрген шлюхалар ғой.",HATE_SPEECH
"Сенің миың орнына қотақ өсіп шыққан ба, далбаеб?",OFFENSIVE
"Сол сақалдылардың бәрінің үйін тінтіп, қару-жарақ іздеу керек. Бәрі потенциальный террорист.",HATE_SPEECH
"Айгүл, сенің жатқандағы даусың трактор сияқты екен, бүкіл общага естіді кеше.",OFFENSIVE
"Орыстың қатындары арзан, екі бөтелке араққа шешіне салады.",HATE_SPEECH
"Сен сияқты лохты бірінші рет көріп тұрмын, мамаң сені туғанда жылаған шығар.",OFFENSIVE
"Айтушниктер - өмір көрмеген задроттар. Компьютерден басқа ештеңе білмейді, қызбен сөйлесе алмайтын инцелдер.",HATE_SPEECH
"Сенің мамаңды сіккем, сол үшін маған ренжіп жүрсің ба, щещен?",OFFENSIVE
"Осы универдегі көгілдірлер көбейіп кетті, оларды бір-бірлеп ұстап алып, отчислять ету керек.",HATE_SPEECH
"Эй, сарыауыз, көп былжырамаш. Сенің сөзің ешкімге қызық емес.",OFFENSIVE
"Гуманитарийлердің дипломымен тек Макдональдста пол жууға болады.",HATE_SPEECH
"Сен сияқты малмен бір ауада дем алып отырғаныма жыным келеді.",OFFENSIVE
"Батыстың 'дерзкий' жігіттері Алматыға келгенде мысық болып қалады. Понталары ғана көп.",HATE_SPEECH
"Сенің түріңе қарап отырып, құдайдың ошибкасы екеніңді түсіндім.",OFFENSIVE
"Вегандар - миы істемейтін сектанттар. Шөп жеп жүріп, милары да шөп болып кеткен.",HATE_SPEECH
"Сенің қызың кеше басқамен клубта жабысып жүрді, лох.",OFFENSIVE
"Хиджаб кигендердің бәрі радикал. Оларға сенуге болмайды, ертең жарылыс жасап жүрмесін.",HATE_SPEECH
"Көтіңді қысып отырсай, хули дохуя ақылды болып кеттің?",OFFENSIVE
"Қытайлар саранча сияқты, бәрін жаулап бітті, бір күні көтімізге кірмесе болды.",HATE_SPEECH
"Админ, сен пидр, неге менің постымды шығармайсың? Ақша төлегендердікін ғана шығарасың ба, сука?",OFFENSIVE
"Атеистер - имансыз малдар, оларда ешқандай қасиет жоқ.",HATE_SPEECH
"Сен сияқтыларға интернетті вообще запретить ету керек, ебанат.",OFFENSIVE
"Бля, сенің логикаңнан айналайын, қотақ жеген екенсің ғой.",OFFENSIVE
"Осы орамал таққандардың бәрінің миы айналған, елді 15-ші ғасырға сүйреп бара жатыр. Нағыз фанатиктер.",HATE_SPEECH
"NU-шниктердің понтасы көп, бірақ білімдері ноль. Просто ағылшынша сөйлейтін мамбеттер.",HATE_SPEECH
"Сенің ебалоңа кірпіш өзі сұранып тұр. Көшеде көрсем, точно сындырамын.",OFFENSIVE
"Сол гомиктерді жинап алып, бір островқа апарып тастау керек, біздің балаларымызға жаман үлгі көрсетпей.",HATE_SPEECH
"Админ, сенің анаңды сігейін, неге дұрыс посттарды шығармайсың, қотақбас?",OFFENSIVE
"Кавказцы заебали уже своей борьбой и лезгинкой. Пусть в своих горах танцуют, здесь Алматы.",HATE_SPEECH
"Эй, сука, личкаға жазбаш маған, заебал уже. Тағы бір рет жазсаң, тауып алып сігем.",OFFENSIVE
"Қазіргі қыздар инстаграмда көтін көрсеткеннен басқа ештеңе білмейді. Болашақ шлюхалар.",HATE_SPEECH
"Автор, сенің постыңды оқыдым. Енді көзімді святой водамен жууым керек, осындай хуйнядан кейін.",OFFENSIVE
"Оралдан келгендердің бәрі орысша сөйлейді, намыстары жоқ па вообще? Орыстың құлдары.",HATE_SPEECH
"Анау 5-ші партада отыратын семіз, сен азрақ тышып-сыйсайш, воняешь на всю комнату.",OFFENSIVE
"Еркектердің бәрі бір - қотағының айтқанынан шықпайтын малдар.",HATE_SPEECH
"Сен сияқты ебланның қалай жер бетінде жүргеніне таң қалам. Асылып қалсайшы, бәріне жақсы болар еді.",OFFENSIVE
"Осы 'западло' дейтін батыстың мамбеттері заебал, әр сөзіне бір қосып. Өздерінше крутой.",HATE_SPEECH
"Сенің даусыңды естігенде, құлағымнан қан ағады. Вообще сөйлемей-ақ қойшы, а?",OFFENSIVE
"Индустар мен пәкістандықтар елді басып кетті, жүрген жерлері сасық. Оларды елден қуу керек.",HATE_SPEECH
"Сен малсың ба, әлде даунсың ба? Екеуі де сияқты ғой.",OFFENSIVE
"Түріктер біздің жерімізге көз тігіп отыр, олар бауыр емес, олар жау.",HATE_SPEECH
"Бля, сенің түріңе қарап отырып, бір құсып алғым келіп кетті.",OFFENSIVE
"Американың демократиясы біздің елді құртады, олардың кинолары мен музыкалары жастарды аздырып бітті.",HATE_SPEECH
"Щещен амы, аузыңды жап.",OFFENSIVE
"Кәрістерге еліктейтін жастардың бәрі даун. Өздерінің ұлттық намысы жоқ топастар.",HATE_SPEECH
"Сенің қасыңда тұрғанша, қоқыс жәшігінің қасында тұрғаным артық, сасық.",OFFENSIVE
