user,comment,label
@IslamBaktibik-l4t,Африка да нормально адам жохпа төбелесетің немен қойшы ларды тауап алғанба😂😂😂,offensive
@beka_LOK9,Шықпай кеттіғо бой,normal
@topanime6602,🔥🔥👊,normal
@user-no6pq7gd5h,"Рух ерекше алгысымды былдырем ❤
 Жалгасы болады деген умытемын❤❤❤",normal
@ДаниярМырзаханов-т9д,👍👍👍👍👍👍👍👍👍,normal
@ДаниярМырзаханов-т9д,🔥🔥🔥🔥🔥🔥🔥🔥🔥,normal
@margulankanatbek7160,Дарабоз легенда Рух Конор го кароче,normal
@МираТемирова-ь1т,😂😂😂😂 сыйыр,normal
@ИсламЖумакадыров-ш4т,У кого больше лайка тот гей,normal
@symbatanarbai3218,Дарабоз харош,normal
@ТемирланЖаксылык-ц7й,"Апачига ""ты классный актёр"" деп неушин айтты???",normal
@МеірланТөлеубек,24:34 Упучук 😂,normal
@МеірланТөлеубек,Упучук 😂,normal
@IvansTumasevics,Дарабоз сам себя опустил получается😆,normal
@ЕржанАжимуратов-ф7м,Алып тастандаршы дарабозды,normal
@almasmyrzaly8673,Негізі әр бойды әртүрлі істеу керек еді 1 бой мма перчаткамен 1 болды боксерски перчаткамен сол кезде қиындау болатын еді,normal
@BolatSartov-y9w,Пздц косить пацан,offensive
@MusicForSleepRelaxationn,"Вы ебать если шоу делаете вы там наймите переводчика это раз .. 
во вторых тоже приехали бить африканцев не подготовленных у них там бля не залов нет ни тренажеров ниче нету спортсменов привезли и хайп чисто делать грязный лучше бы помогли просто базар жок это шоу но разве так можно",hate_speech
@КзгЦ65,Сідіктін аркасында женді го 😂😂,normal
@MR.Zoloto0ff,"Дарабоз таза куады екен гой, ози озимен журген Мошка барып, сидигин ишип шомылып, ещё ренжид. 😂😂😂 Ашуланып",normal
@КенжебекАбдулазизов,Айкайлап жиберчи Дарабоз 😅 Амиго👍,normal
@ЖанФамилиа,Дарабоз ұтылып қалт,normal
@Doni.639,Дарабоз маладеу🎉🎉🎉,offensive
@СайлауАйтжанов-ч2з,Ашыткы камырлар 😂,normal
@СайлауАйтжанов-ч2з,Фудболкасын шешпиак тобелестирмединба 😂 иркеништисинай,normal
@Almaty-wo5wf,Қырғызстан,normal
@ziyatboranbay2893,Сиыр менің арқамда ғой деп жатса😂,normal
@НургазыЖаксылык,Сідік ішіп жүрма😂,normal
@НургазыЖаксылык,😂,normal
@ТЕКҚАНАШЫНДЫҚТЕКҚАНАШЫНДЫҚ,УПУЧУК ТАЗА МАЛ ЕКЕНСІҢ МИНУТКАҒА ШЫДАМАДЫҢҒОЙ СОРЛЫ,offensive
@AisultanOtenov,Дарабоз маладец дайындалган астынан күтіп алганы күшті болды,normal
@GooDDay-kg6ug,"Ұр ұр!! Болды болды болды, тоқта тоқта тоқта тоқта! Бергель бергель бергель бергель! Тез тез тез тез тез тез тезз, болд болд!!! Демал демал демал)))😂😂😂 Бауырым! Ты четкий секундант отвечаю!!! Быыыляяя пацаны возьмите меня с собой в следующую поездку!!! 

Обещаю контент вам сделать!!! 
Сам за все плачу))) БзЖк!!! 

Дарабоз бауырым! Не истеп журсенде, Аман болш! Нагрыз казактын батырсын!!! 🤝",offensive
@ДаниярТастанбек-й7и,Бля Дарабоз зб сын сен 😂😂😂,offensive
@АсаналиЗейнур-ч5ы,Сідік көмектесті😂😂😂,normal
@ТалгатНарбаев-е2г,Дарбоз шыгама,normal
@NurgisaZholdasuly-h6p,Шешең далбан дарабоз мишок дым удары жоқ түк істи алмаисың құшақтасып,offensive
@Мейранбек-э8п,Жерлерің емес ішкен жерін айтам кешіріңдер,normal
@Мейранбек-э8п,Сідік ішкен жерлерің енді өтірік синари көрініп тұрғо,normal
@ДуманБолтаев-н1й,"Атакты Кабанбай батырдын Дарабоз есимин алу жараспайды негизи, Кабанбай атамыз женилмеген",normal
@ДуманБолтаев-н1й,"Апачи боец, дарабоз, бужай мешок",normal
@ДуманБолтаев-н1й,Тобелестерине кулким келеди,normal
@ДуманБолтаев-н1й,"Рамазан  тобелесе алмайтын жигиттерди жинагансын, Мапохты апару керек еди",normal
@rauadin,Мощ емес Сідік,normal
@toky0sex,"Учпукчук позор нации , да все они там клоуны, кроме апачи.",hate_speech
@toky0sex,"Сценарий в котором понезнанке чел выпивает мочу, вы серьезно? Вы и так уже на дне, куда глубже вы проваливаетесь?",normal
@Qwertyy-g2s,1000 мен жаздым,normal
@AshonTyrmshanbetov,К🎉,normal
@maketake9235,Бужай вниманиенің бәрі Дарабозға ауып кеткеніне көті ашып кеткен сияқты. Жоқ болып кетті ғой.  Не от души құттықтай салды. Бірақ қалған жігіттердің шын риза болғаны көрініп тұр.,normal
@ЕрасылБерикулы-ъ8н,Дарабоз 🔥,normal
@ЖекаХасанов-б2у,Амынды айырдыго упушукчерт🤣🤣🤣,offensive
@ЕрзатБайбори,"Я чисто зашёл прочитать комментарии так то сам реалити не так интересен 
Мнения людей хотел узнать! Одним словом фигня стал это Руххайтинг не так как в начале",normal
@mukhanbetuisimbayev31,Мүлдем қызық болмай кетті..,normal
@Crush_Sake,🔥🔥🔥,normal
@МанасАббдулаев,Дикыи Данияр Дарабоз моладец✊🏻,normal
@АлмасАмиржанов-ю8я,Дарабоз РФС ды Сен Ушін Көреміз!КРАСАВЧИК МОЛОДЕЦ....,normal
@НурланбекКанапьяев,Данияр жарайсың аузын аша жүрегі көрінетін жігіт ақ көңіл аңқылдақ тек жеңіс тілеймін.,normal
@zhandos.93-,👍👍👍👍,normal
@zhandos.93-,Дарабоз алга,normal
@bahytzhan077,Сідіктін күші Дарабозға өтіп кеткен😂😂😂,normal
@DarhanBauyrzhanov,Дарабоз красавчик,normal
@АсылжанТө,Дарабоз сиырдын сідігін ішіп үтты,normal
@Saderkin,Марио деген молодец,normal
@АйганымСерим,Екі. Титвн,normal
@СанжарСагынбаев-е4й,Апачи красавчик патсказывает помогает всем,normal
@СанжарСагынбаев-е4й,Еркебулан чепуха как всегда воздух,normal
@mirasduisenov-qh1sf,Хорош Данияр мен қатты қобалжыдым Африка ұтып кетеді деп жарайсыңдар жігіттер Қазақстан жеңе берсін жарайсыз Дарабоз аға тек алға ✊🏻,normal
@АйганымСерим,Апачи. Пақ. Ете. Ма.  Хетчо,normal
@АлишерАлдабергенов-ъ1к,Данияр Дарабоз үшін көретіндер біргеміз,normal
@dend133,"Тяжжарда Дарабоз чемпион болу керек , осындай рубкамен талайын алады",normal
@originaldilla1322,"Еба Дарабоз сен казсынба, мен тамак ишип отырмынго",normal
@Uzakov_Nursultan,Бала сиякты Дарабоз,normal
@Uzakov_Nursultan,"Арен арен алды гой Дарабоз, ешкандай результат жок 1-2 жыл болды жай журген айтеуир. Таратып жиберу керек",normal
@NURJAN777-z6b,Талдықорған сила,normal
@mkz5429,Бары сценарии го😂😂😂,normal
@samatisakov8081,Дарабоз эч качан урганды уйроно албашына козум жетти,normal
@ЖанболатАлимов-в6т,Еркебұлан командадағы жалғыз ірің екен,normal
@Takeee0,Хорошая работа Рух Файтинг молодцы 👏🏻👍🏻🫂,normal
@АлматОспанов-я6ь,Upuchuk maimyl,hate_speech
@МаксБатиста,Сидикти қайтардынба Дарабоз😂,normal
@МаксБатиста,Дарабоз шоуменго сол болмаса қызық емес,normal
@Erkemingoi,Курту керек Дарабоз Бужай деген тяждарды тяждардан Амиго гана адекватный ана екеуи жазып берген сценарийди дурыс ойната алмайды уже кызык емес,normal
@ushiwakamaruone,Бужай коре алмай тур,normal
@БекзатАбдулла-ч6э,Жеркенішті бужаи аитқаны қате ау осы?,normal
@ДаулетАлсерик,Дарабоз картопты жарып жатсың сен үшін көрем осы эфер Бунтаның зәрі дәмді болсын,normal
@МолдирНурмухаева-ч1л,Дарабоз красавчик!!!🎉,normal
@Vladimerovich,Еркебулан тәрбие көрмеген көргенсіз . Рассист.,hate_speech
@Ulan-s3u,Е Бүжай ды айтам желкенесіңгой дид өзі тауықтын басын жеп тарақан жеп бақа жеп Дарабозга кеп желкенебисіңба деген нес 😂😂😂,normal
@rieger777,Еркебулан озинше болып збл уже,normal
@madiyardjusambaev3496,Шошкабоз,normal
@Рауд-з5я,Клоуны,normal
@Рауд-з5я,Клоуны,normal
@Рауд-з5я,Котик баштар,offensive
@erakz1010,Сідік ішкеннің пайдасы😂😂,normal
@Piyshenbaykalenov,Мен каракалпакпын бырак дарабозга болысамин,normal
@Treshvideo749,Дарабоз за деньги всё сделает то с будки вышел девушкой лицо размазанной в крови тут уже на мочу согласился пздц,offensive
@NuraAlmaty,Біздің Қазақстанда неждануть деген бар деп Еркебулан не әнгіме?😂😂😂,normal
@BerikJanuzakov,Өтірік келісіп алғанғо көрніп тұрғо алдына ала халыққа қызық болу үшін,normal
@bekzatsundet8087,Бля дарабоз ута алмай журекенго бля😂,offensive
@ЖамилаКарымсак,Мағынасын білмей бақырып кеттіма😂,normal
@Даурен-и6н,13:19😂,normal
@Даурен-и6н,13:20 😂,normal
@Даурен-и6н,13:23 😂😂,normal
@ДарханАбдешов-и6ш,Мына қара жігіттерді күтіп жіберу керекқой Қазақстанга келгенде 😅,hate_speech
@ЕрнарКадыр-е8з,😅,normal
@АлмазСерик-д8п,👍👍👍,normal
@super_puper24,Қазақпен қазақ қырылған бой өтед барго. Мына африкаң болмады жалпы кызыксыз,normal
@НурбекСырымбетов-э2ь,Дарабоз Сидик ишкенен кеин жендигой атак жене алмаушед,normal
@YmaGcci,Эй Казактар Африканецтерди не кыйнап атасынар 😅,hate_speech
@NILS-yXF,Дарабоз 😈😈😈,normal
@GamerXX33314,Было бы интересно мапох /капена мапох схавает его уверен,normal
@GamerXX33314,Афроказах и тот кто выступал против апачи,normal
@GamerXX33314,Мы хотим марселья против этого которыи выходил против апачи,normal
@GamerXX33314,Дарабоз ұтылат деп ойлап едім удивил канечно харош,normal
@havetenacity,Дарабоз красавчик сідігінде ішті женісінде алды контентің стеді хайпың көтерді 😂👍🏻,normal
@СмайловҚыдыр,Бужай ға не болған 😢,normal
@СмайловҚыдыр,Данияр тигр🎉,normal
@kirito_boruto,"Дарабоз доппинг колданды, сонын аркасында женди😂😂😂
ПС:(озинин айтканы)",normal
@MrKats-pj6ty,"Адамгершилиги жагынан койсам:1)Апачи,2)Дарабоз,3)Бужай,4)Амиго,5)Упа.               Еркебулка да адамгершилик касиети жок-гусь",normal
@MrKats-pj6ty,Еркебулка гусь тек слабыйларга сойлеу билед,normal
@БауыржанАятхан-ч5о,Дарабоз саған барі бір емеспе не болсада,normal
@АбзалЖапаргали-т1н,Дарабоз жыртады біляя😂😂😂😂😂😂,normal
@НурдаулетКонырбаев,Упучуктыда Апачиындыда сгп тастадыго,normal
@beknurturar987,Осы Составты Казакстаннын либой ауылына апарып сол ауылдын балдарымен тобелестырсен бары утылады,normal
@Моля82,АПАЧИ🎉🎉ЕРКЕБҰЛАН ЖАЙСАНБЕК УПУЧУК ДАРАБОЗ 🎉🎉🎉🎉ЖАРАЙСЫЗДАР🎉🎉🎉🎉,normal
@Akhatovkz,Бужай осыған дейін не жегенін ұмытпасын,normal
@РысбекНартаев,ДАРАБОЗ КРАСАВЧИК,normal
@АйдосАхметов-ь1б,Дарабоз-ДАКАНЦА ДАКАНЦА 💪💪💪,normal
@lgoodsheix,Креатив директор мен болайншы че та детский контент,normal
@lgoodsheix,Анау очки кивалып жургой кара просто биздин тяждарды кормеген,normal
@Базаркуль-ф9р,Зб рекламасы,normal
@NurkaSandubai,Араларындағы ең добрый осы Марио ғой,normal
@deoland_one,Капено Джалоловка уксайды екен бойы ұзын салмағы ауыр боксыда ұқсайды біздікілер Қонқабаев сиақты бойы кіші салмақтарыда сәл жеңіл,normal
@MuhanAbatov,Кийинкисинде Аюну гошкула,normal
@esengulovmma.7,Адеми аякталдыго Джабулаааа вуууеееенннааааа😅💪,normal
@Восток12345,Дарабоз дын женысы дурыс емес ол допинг колданды😂😂,normal
@СабрСабр-х2з,Кайт жок екен мыналарда,normal
@MJAnri1993,Еркебулан көріп отсан гоу поразам. Мен  весім 55кг. Бой По твоим правилам👍🏻👍🏻 лайк басндарш рух корсин,normal
@ВиталийБредгаур-з5б,Да я просто не магу ржал чуть не умер дарабос это просто в голове дыра ооо дырабас,normal
@НурмухаммедНагашибай,Упа утылды,normal
@АЛИШакен,Это лучший конец RFC😂,normal
@bauirzhanbekzhanov3501,Бля мына Еркебулан таза ищщяк екенгой шшс🤦🏽‍♂️,offensive
@жусипбекЕщанов-и6й,Ол фанта болган,normal
@Непадайдухом-с4ч,Африка Казах бір туған 😊😊😊,normal
@РамазанБайжанов-у8и,Африка капитаны аты кім еді сомен Упучук шыққанда қыз жекпе жек болатын еді,normal
@заринаиванова-г2в,Реально из всех достойный мужчина это Апачи! Респект ему ? Без гнили без понтов,normal
@NALSUR01,Красавчики🎉,normal
@Xske.shop_123,Дарабазға сідік ішкізу керек екен ғой😂😂,normal
@АкнурНурланкызы-ф3щ,Супер🎉🎉🎉,normal
@chrysler300c1,Сідігіне тойып алыптығой деген сөздің мағынасын енді түсіндім😂😂😂😂,normal
@ShyngysKambarbekov,Сакен Сани коргимиз келеди келсиде,normal
@nurgisashax8623,Дарабоз Қарсыласты силау керек,normal
@Даурен-ц7ц,Дарабоздан Ул болса Кажумукандай болады Бир Батыр Шыгар еди Кыздар Ойланындар😅,normal
@Даурен-ц7ц,Енди Дарабозга Жаксы Кыз тауп бериндер бир еки жас Киши Кыз болса.Уйленип Семия болсын.Казактын Кыздары Кайдасындар Анщейнде анаган мынаган шыканда керимсиндер Оданда Дарабозга Шыгындар турмыска Алаканга Салып Аялайды.Дарабоз Мыкты Мыкты жигитин Жары Ким болады екен Кыздар,normal
@Xske.shop_123,Дарабозға боқ жеу қалды енді😂😂😂 мааааал,normal
@warmma3634,"Данияр базар жоқ өсіпті, красавчик!!",normal
@madimadi7799,Допинг саган,normal
@АидаБеклербек-о1б,Не мынау?,normal
@АидаБеклербек-о1б,Не мынау?,normal
@madimadi7799,ДАРАБОЗ МАЛ,offensive
@temirlanzholymbekov2796,Африканың маймұлдары қатты айғайлайды екен😂😂,hate_speech
@ЖакияИсатай-ы9ь,Капена котынды айрадыго амиго сенин,normal
@m17seilhanov86,Ю в лжх,normal
@БексултанРахымберди-с8р,Амиго батасы өтті әнгіме айтып аумин дисалдыго 😅😅😅😅😅,normal
@Марат-ш4е8э,Дарабозга сидик комектнстигой😂,normal
@BMB_04,"Brothers Kazakhs, thank you for the fight. Unfortunately, I lost, but I promise that I will win Daraboz in Kazakhstan, he will drink a cocktail of urine more than once",normal
@Марат-ш4е8э,Тагы жалгасы болама?,normal
@ДмитрийТюрин-с5е,"Молодцы хороший проект,в следующий раз нужно сделать с другой страной но только тоже с бойцами медиа,африканцы сильные спору нет но все равно лучше когда и та и та сторона медийная👍",hate_speech
@aristocrat_z,Дарабоз молодец,normal
@SARKA.,Дарабоз дайындалса жаксы тобелеседи,normal
@Ика-у9л,"Данияр қосқан, жақсы жекпе-жек көрсетті",normal
@nurlyutegen6832,Вафлист базар жок. Амиго негып журсин полоскатся етип. Под вапросом вы.?,normal
@maksalim5302,Дарабоз просто допинг ишип алды,normal
@ТурарКалиев-ю4й,Упочог қот.... Ды жедіау зб сол понтовка билима шшс рингте,normal
@azot_turatayev.,Самый скучный хайп шоу если честно. Рамазан сделай бои на голых кулаках,normal
@АсылбекКапжан-и8г,"Ассаламаликум Рамазан, как можно связаться с тобой?",offensive
@kazakhculturewithrauan5913,Өлетін африканец Еркебуланға жүгіред- боп жатыр ғой,hate_speech
@КадирбайМаманов,Дарабоз билат допинк деп ойлап сидик ишип жур 😀😀😀,normal
@куаныш-б5й,Еркебулан тобелес пздц болмай,offensive
@ДаулетОмирсерков,Дарабоз ұтылды ғой 🤣🤣,normal
@AssetKumarov-gl7kp,"Бүжәй қосылайықта не жоғалттың?🤣 Дарабоз жүр сідікке тойып алып, красавчик ұтқаныңа✊🏼",normal
@ilyasualikhanov2411,Сідікке тойып алып концерт койды деген осы😂😂😂,normal
@David-yo2cy,Мына қара нәсілді африкандықтар өте қарапайым екен! Басқа елдерде бұлар құсап көттерінен тептіріп қоймайды ау!,hate_speech
@David-yo2cy,Мына қара нәсілді африкандықтар өте қарапайым екен! Басқа елдерде бұлар құсап көттерінен тептіріп қоймайды ау!,hate_speech
@Жайдар-к9я,Бляя рфс идёт ниже и ниже,offensive
@Kino.monia.,Данияар жарабоз крассавчик,normal
@_KulinaR_9009,Дарабоз красавчик міне енді өзіңді көрсеттің алға Дарабоз Сила😅😅👍✊🇰🇿💪,normal
@РоманРаушанбеков-ю5з,Упа чорт,normal
@media-f1e,Бүжәй Дарабоз ұтқанға ішің өртеніп жатқан сияқтығо. Дарабоздың қолын көтергенде түрің ағып кеттіғо😂,normal
@Erik-o8i,"когда человек зачат то тоже в животе сидики кушает, 👏😅👁👑💎 не заржавеет.",normal
@Erik-o8i,"Дарабоз Киборг пофигист, неуязвим,😅👍🚀🧨🔥💥🦾💪🤲🕊🧭5литров спирта и всё стерелизует ,.😅",normal
@БердигалиТлеутаев,Бужай мен апачи үшін қарап жүрм осы реалитиды🙌 калгандары көтті жеп жүрген адамдар!,hate_speech
@kasymoffonline,Расымен сідік болса неге жиіркеніп жуынбай тұрсың Дарабоз??? Че то подозрительно 🧐,normal
@BaurzhanS,Рекламанын уакты коппа шыгарылымнан?,normal
@ТалгатАжниязов-у5т,Қорабоз мешок. Келесі рух келмесін,normal
@Choko1lokoo,можно по скорее выпустить некст видео 😢😢😢,normal
@azamatbagitzhan816,"Рамазан, мына клоундарды ку рухтан! Обновление жаса! Болмайды мыналар! Божай в первую очередь",normal
@АдильбекСанеев-ъ4ш,Шыны керек Дарабоз сігіп жберді,normal
@IslamZhumagulov-th1ee,Сиырдың сидиги 😂,normal
@МирМир-с4е,Даке молодец 8секундта 17удар не иштин точно сидикпа анау😂,normal
@АлимбайХамитов,Мына Дарабоз дым төбелесе алмайт,normal
@ФархадАбдуллатипов,Еркебулан духы жетпей тур,normal
@anonimakkaut,Мариомен Еркебулан шыкса оте кызыкты бой болады марио мыкты жиги екен🔥,normal
@anonimakkaut,дарабоз мощщщщщ характерррррр🔥🔥🔥🔥рухтың коныры,normal
@edilsuidinbaev,Найз гель😂,normal
@AslanArun,"Дарабоз адамға ұшық шығартатын болдығой өткендегі анау қызбен,бірақ Упучук айтқан әдіс өтіпті✊🏻",normal
@anonimakkaut,харош дарабоз характер❤,normal
@СержанОтеген,Апачи молодец жаксы стратег,normal
@jaksbatyr3666,Джабуллааа джабулллааа,normal
@ЕркебуланБабаев-ы2ч,Красавчик,normal
@qairatmalik,Еркебұлан қоқыскеуде болып кетіпті,normal
@ЮсупЮсуп-ы1ь,Апачимен упучук красавчик,normal
@БаринАлен,"Рух, что за дешевый сценарий с Даробозом?",normal
@АртурСабыр-ф1к,Дарабоз красава,normal
@k94ks,Дарабоз лучший,normal
@Tonymantana2000,Упучуктын приколдарына кулмегендер лайк👍,normal
@БақытбекМакеев-ч4щ,Еркебулан деген гусьті құртшы Рамазан,normal
@НурлыгулТулешева,Мош кушти ✊,normal
@НурлыгулТулешева,Молодец кайтарымын жасаганын оте дурыс болды,normal
@НурлыгулТулешева,"Мына африканцыларга карасан,сондай изгиликти жигиттерди коремин,оте ризамын осы балаларга,ашуланып жаман минез корсетпейди,отеустамды,кызагымын карап турып,биздин жигиттерге сол жетиспейди,казактар оте дореки,ауыздары лас,типтен адамды уялтады",hate_speech
@НурлыгулТулешева,"Африканын жигиттери допты да жаксы ойнайды,казактар арамдык салып кетеди,кишкене уяттау",hate_speech
@НурлыгулТулешева,"Негрлер оте мейиримди,адамгершиликтери жогарырак",hate_speech
@НурлыгулТулешева,Биздин казактар оте мактаншак,normal
@НурлыгулТулешева,Негизи негр утты,hate_speech
@НурлыгулТулешева,Негизи него утты,normal
@sulteq,Ой Дарабоооз 😂😂😂😂 ахаххвхвхвхвхв Сийдик ичтигой жиндииии😂😂😂,normal
@ДензельВашенгтон,Мош Дарабоздн почкасн тырнап тастад кан кылып.,normal
@МаулетМухитов,Дарабоздың кубалдай кубалдай соққылары керемет,normal
@БоздаковТөрежан,🔥🔥🔥👏👏👏👍👍👍,normal
@ДензельВашенгтон,Дарабоз жас кызды айдап алд. Сидыкты ышып алд. Енды семызды айдап тастад.,offensive
@DumanBekenov-t8z,"Дарабоооооз мужииииик, сол басынан рухтын легендасы, бужайлар оздерин акылды санайды жактырмай Дарабозды,бира Дарабоз и в Африке Даробоз, жарадын Ангал Батыр❤",normal
@MMA_TM_KZ,"Дарабоздын тобелеси катты унады 👍🏻👍🏻👍🏻
Рамазан братан осы бой ушин Дарабозга бонус беру керек сиякты кадимгидей Рубка болды🤕",normal
@НурланЖангазы,Дарабоз маладес тренировка керек саған дыхание техника удар барғой а так,offensive
@Doctordoomsday-p9f,"Келеси Кытайга барындар,  кунг фу",normal
@Сакыпра,не болды сонша сiдiк ишiп😅😂 Бопего мынауын Бопебоз😂😅,normal
@Айдос-ц5б,Паровоз кішкене корпус опиркот дегенді істесей. Апачи Еркебұланды тыңдасай..... Упучук Апачи Еркебұланды тыңдасай... дайындалсаң мықты боец боласың.,normal
@thedoverm5679,"Керемет Бексұлтан, МашАлла саған көз тимесін бауырым👍🏻",normal
@erakz9272,Упаның карсыласы ана мултиктің акесі сиакты айнымайды түрлери,normal
@gacha_and_me,ДАРАБОЗ АПАЧИДІ ТЫҢДАП ЖЕҢДІ ҒО НЕГІЗІ❤❤❤❤ АПАЧИ ❤❤❤😊,normal
@БахрамНизаматдинов-э4ц,Еркебулан котдалбаёп,normal
@RapnationGang,"Моштан уят болды по идее спорный бой, ничья болмайды 2 ширет сондыктан Дарабоз алды",normal
@ДарханЖумабаев-з8ы,Сценаристтеринди аустрасындар ау,normal
@FaridSidikova,Бля брат казак тын шапалагын жегезу керек еды,offensive
@KukaTAi,Джабулла уинна ( Jabula winner) деп тұр. Біздің далбандар билеп соған 😅😂,offensive
@Redmi9A-b1e4r,Еркебулан кызык емессын кароче барго в натуреее жок бош реалиты куртпай,normal
@Redmi9A-b1e4r,Бля Амиго сен сексуальный сын димаааа емаааа😂😂😂😂😂😂,offensive
@SalaBai12,У Кого Больше Лайков Тот Гей,normal
@аово-ь3ф,Жеңілген күреске тоймас. Данияр 👍,normal
@shecksizdick,Сиырдың сідігі☠️☠️☠️☠️,normal
@АсылханТлеубаев-д4з,Сломаю его окуратно ))),normal
@kozhekappak6036,Дарабоз куттыктаймын🎉,normal
@АсылханТлеубаев-д4з,Дайте Дороблза окуратно выиграю),normal
@ЖандосНурекешов,Черный шифоньер черный телевизор черный машина 😂😂😂😂,hate_speech
@казак-я2е,Жарайсындар жигиттер. 47:13 Дарабозды абайлан енди бой сайын сидик ишип шомылып кетпесин😂,normal
@ErmakZavoevatel,Дерзкий выпуск секундант красава 👍👍👍💪💪💪💪От души 🫂,normal
@spartacus-gg7tf,у кого еще тормозит ютуб,normal
@ShortMasster,Карен 2рет ұтып едіғо,normal
@Kanali3-ko5wu,Daraboz miqdi Barliqi Darabozben kushdi Otdi barliq jaqinan QARALPAQISTANAN Xojeli💥💥,normal
@Musaworkout,13:26 😂😂 оператор ендыгі видео тағыда тусырыңшы,normal
@galymzhanbaimuratov3115,"Еркебұлан түсінік жоқпа чисто на уважение деп кеп тұрса кісіленіп, осы реалити чета браз маскаңды шешіп тастадыма қалай?",normal
@Просто.00,Бужай адамда жиркеныш деген боладыго дейма шш😂😂😂,normal
@МейрамбекТажигулов,Рамазан жаман қудырат😂,normal
@qazaqt-9822,"Ассалаумағалейкум!Бұл жеңісте отчасти 
 Апачидің еңбегі бар.Мықты жігіт.Дарабозды құттықтаймыз.Жігіттердің советтерін ескерсе,біразға баратын сияқты.
Рахмет Рамазан!
Рух файтинг жасасын!Қазақстан!🇰🇿✊",normal
@БауыржанШангереев-е1ъ,"Қазақ 🇰🇿 - 🇳🇦 Намибия бір туған десем болама,  болмайма 😀",normal
@sanzhar.serikuly,Капенамен реванш жасайтын жері еді ғой Бүжайдың мысық боп тұрғанын қараш чёрт,hate_speech
@Maksimus999,Дарабоз красавчик,normal
@МуратАманбаев-и7г,Данияр мешок бокстасып уйреншиш,normal
@АманкасИмамалиев-в8ф,Калоңка апармаисыңдарма,normal
@ДаулетАлимханов-ъ9н,Ай жарайсың Дарабоз жеңіс құтты болсын жарайсыңдар Жігіттер бұйырса Еркебұлан жыртса енді  сәттілік бауырым,normal
@diaskanatuli5379,Хочу в рух файтинг,normal
@Amangeldy-s6f,Дарабоз малок джабулә жасадың🖖👍,offensive
@Nur1kooo,Джабуляяяя увеееаааа Джабуляяяяяя Увеааааааа,normal
@MarkII_90_jzet,Қара балалар өзіміздің жігіттер болып қалдыго😂😂,hate_speech
@ErlanBergkamp,Каучук қазақтың позоры😅😮,normal
@ErmakZavoevatel,Кайф дворовый футбол от души джиги  😎,normal
@cf9523,"бл, больше не зовите Амиго на реалити, достал уже со своим нытьем",normal
@almazkubanychbekov3770,Эркебулан тасак,normal
@almazkubanychbekov3770,Эркебулан тасак,normal
@almazkubanychbekov3770,Эркебулан тасак,normal
@darhanm-z9m,Дарабоз қорқып тобелеседі..,normal
@БауыржанСопбек,Уже не интересно каждый раз одни и тот же люди,normal
@Madiya-du3vr,Капена аират барлык тяждарды мойндау керкк,normal
@user1234-ji,казактын конорыма,normal
@Askarbek-n7c,"Амиго ағылшын білед, жалпы красавчик екен.",normal
@ЕлдосДосанов-ю3н,Капена мен Марионы Қазақстанда әкелу керек минимум 2 бой берсең хайптың бәрі сенде  Рамазан,normal
@СундетМузаппар,Ұтпай жүр еккенда Дарабоз 😂😂,normal
@AidanaYessentay,Дарабоз красавчик молодец 👏 🎉🎉🎉🎉,normal
@azaza913,Дарабоз 🦾,normal
